ERROR - 2020-01-16 12:38:18,955 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run700___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:38:18,955 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run2024___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:38:18,955 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run2144___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:38:18,955 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run660___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:38:18,955 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run396___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:40:24,552 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run204___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:40:24,552 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run364___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:40:24,552 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run1789___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:40:24,552 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run156___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:40:24,553 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run1966___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:40:24,553 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run56___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:40:24,553 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run1806___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:40:24,553 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run1549___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:40:24,553 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run2267___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:40:24,553 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run423___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:40:24,553 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run2307___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:40:24,554 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run2295___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:42:32,703 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run783___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
